date,open,high,low,close,volume,pct_chg
2007-03-20,4155.28,4174.82,4123.89,4174.82,181.81,1.08
2007-03-21,4186.78,4238.38,4156.83,4238.38,221.39,1.52
2007-03-22,4265.72,4274.3,4222.82,4222.82,286.63,-0.37
2007-03-23,4220.34,4243.37,4119.76,4183.8,227.1,-0.92
2007-03-26,4199.02,4252.23,4191.13,4252.23,254.2,1.64
2007-03-27,4274.04,4285.47,4230.3,4284.91,260.2,0.77
2007-03-28,4284.67,4299.82,4113.58,4273.46,342.63,-0.27
2007-03-29,4265.47,4265.47,4144.47,4144.47,249.84,-3.02
2007-03-30,4125.41,4204.8,4125.41,4187.8,182.2,1.05
2007-04-02,4210.92,4252.85,4189.89,4252.79,155.72,1.55
2007-04-03,4281.03,4365.04,4273.54,4365.04,254.21,2.64
2007-04-04,4400.89,4413.08,4372.76,4393.09,264.79,0.64
2007-04-05,4392.32,4427.97,4380.29,4411.25,262.31,0.41
2007-04-06,4367.43,4439.95,4367.43,4427.36,283.15,0.37
2007-04-09,4476.53,4544.75,4475.58,4542.88,306.2,2.61
2007-04-10,4567.45,4607.41,4471.26,4607.41,390.53,1.42
2007-04-11,4601.71,4601.71,4506.22,4586.63,303.31,-0.45
2007-04-12,4584.72,4685.22,4584.72,4685.22,322.95,2.15
2007-04-13,4706.0,4847.7,4706.0,4764.2,412.73,1.69
2007-04-16,4791.76,4858.91,4791.76,4841.66,332.83,1.63
2007-04-17,4865.63,4865.63,4720.45,4823.39,371.46,-0.38
2007-04-18,4827.53,4904.01,4772.08,4889.76,338.54,1.38
2007-04-19,4869.67,4873.41,4668.23,4730.39,447.04,-3.26
2007-04-20,4781.58,4968.27,4781.58,4954.86,349.83,4.75
2007-04-23,5000.05,5091.73,4978.33,5083.26,388.04,2.59
2007-04-24,5099.93,5173.14,5035.89,5134.55,419.08,1.01
2007-04-25,5110.42,5131.27,5002.67,5074.41,317.6,-1.17
2007-04-26,5073.88,5123.71,5070.0,5111.54,273.14,0.73
2007-04-27,5122.64,5122.64,5028.52,5028.52,283.61,-1.62
2007-04-30,5025.17,5025.17,4949.62,5002.57,236.19,-0.52
2007-05-08,5017.65,5276.52,5017.65,5276.52,336.51,5.48
2007-05-09,5277.88,5311.52,5081.36,5197.76,347.29,-1.49
2007-05-10,5193.14,5193.14,5135.0,5161.73,275.77,-0.69
2007-05-11,5142.15,5194.99,5105.93,5155.96,298.96,-0.11
2007-05-14,5091.68,5266.11,5091.68,5215.09,295.35,1.15
2007-05-15,5215.09,5359.78,5215.09,5249.27,356.16,0.66
