exchange,code,name,full_name,short_name,company_full_name,list_date,board
SH,600250,南京商旅,南京商旅,南京商旅,南京商贸旅游股份有限公司,2001-03-06,主板
SH,600251,冠农股份,冠农股份,冠农股份,新疆冠农股份有限公司,2003-06-09,主板
SH,600252,中恒集团,中恒集团,中恒集团,广西梧州中恒集团股份有限公司,2000-11-30,主板
SH,600255,鑫科材料,鑫科材料,鑫科材料,安徽鑫科新材料股份有限公司,2000-11-22,主板
SH,600256,广汇能源,广汇能源,广汇能源,广汇能源股份有限公司,2000-05-26,主板
SH,600257,大湖股份,大湖股份,大湖股份,大湖健康产业股份有限公司,2000-06-12,主板
SH,600258,首旅酒店,首旅酒店,首旅酒店,北京首旅酒店(集团)股份有限公司,2000-06-01,主板
SH,600259,中稀有色,中稀有色,中稀有色,中稀有色金属股份有限公司,2000-05-25,主板
SH,600261,阳光照明,阳光照明,阳光照明,浙江阳光照明电器集团股份有限公司,2000-07-20,主板
SH,600262,北方股份,北方股份,北方股份,内蒙古北方重型汽车股份有限公司,2000-06-30,主板
SH,600265,*ST景谷,*ST景谷,*ST景谷,云南景谷林业股份有限公司,2000-08-25,主板
SH,600266,城建发展,城建发展,城建发展,北京城建投资发展股份有限公司,1999-02-03,主板
SH,600267,海正药业,海正药业,海正药业,浙江海正药业股份有限公司,2000-07-25,主板
SH,600268,国电南自,国电南自,国电南自,国电南京自动化股份有限公司,1999-11-18,主板
SH,600269,赣粤高速,赣粤高速,赣粤高速,江西赣粤高速公路股份有限公司,2000-05-18,主板
SH,600271,航天信息,航天信息,航天信息,航天信息股份有限公司,2003-07-11,主板
SH,600272,开开实业,开开实业,开开实业,上海开开实业股份有限公司,2001-02-28,主板
SH,600273,嘉化能源,嘉化能源,嘉化能源,浙江嘉化能源化工股份有限公司,2003-06-27,主板
SH,600276,恒瑞医药,恒瑞医药,恒瑞医药,江苏恒瑞医药股份有限公司,2000-10-18,主板
SH,600278,东方创业,东方创业,东方创业,东方国际创业股份有限公司,2000-07-12,主板
SH,600279,重庆港,重庆港,重庆港,重庆港股份有限公司,2000-07-31,主板
SH,600280,中央商场,中央商场,中央商场,南京中央商场(集团)股份有限公司,2000-09-26,主板
SH,600281,华阳新材,华阳新材,华阳新材,山西华阳新材料股份有限公司,2000-11-09,主板
SH,600282,XD南钢股,XD南钢股份,南钢股份,南京钢铁股份有限公司,2000-09-19,主板
SH,600283,钱江水利,钱江水利,钱江水利,钱江水利开发股份有限公司,2000-10-18,主板
SH,600284,浦东建设,浦东建设,浦东建设,上海浦东建设股份有限公司,2004-03-16,主板
SH,600285,羚锐制药,羚锐制药,羚锐制药,河南羚锐制药股份有限公司,2000-10-18,主板
SH,600287,苏豪时尚,苏豪时尚,苏豪时尚,江苏苏豪时尚集团股份有限公司,2000-09-01,主板
SH,600288,大恒科技,大恒科技,大恒科技,大恒新纪元科技股份有限公司,2000-11-29,主板
SH,600289,ST信通,ST信通,ST信通,亿阳信通股份有限公司,2000-07-20,主板
SH,600292,电投水电,电投水电,电投水电,国家电投集团水电股份有限公司,2000-11-01,主板
SH,600293,三峡新材,三峡新材,三峡新材,湖北三峡新型建材股份有限公司,2000-09-19,主板
SH,600295,鄂尔多斯,鄂尔多斯,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,2001-04-26,主板
SH,600298,安琪酵母,安琪酵母,安琪酵母,安琪酵母股份有限公司,2000-08-18,主板
SH,600299,安迪苏,安迪苏,安迪苏,蓝星安迪苏股份有限公司,2000-04-20,主板
SH,600300,维维股份,维维股份,维维股份,维维食品饮料股份有限公司,2000-06-30,主板
SH,600301,华锡有色,华锡有色,华锡有色,广西华锡有色金属股份有限公司,2000-07-12,主板
SH,600302,ST标准,ST标准,ST标准,西安标准工业股份有限公司,2000-12-13,主板
SH,600303,曙光股份,曙光股份,曙光股份,辽宁曙光汽车集团股份有限公司,2000-12-26,主板
SH,600305,恒顺醋业,恒顺醋业,恒顺醋业,江苏恒顺醋业股份有限公司,2001-02-06,主板
SH,600307,酒钢宏兴,酒钢宏兴,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司,2000-12-20,主板
SH,600308,华泰股份,华泰股份,华泰股份,山东华泰纸业股份有限公司,2000-09-28,主板
SH,600309,万华化学,万华化学,万华化学,万华化学集团股份有限公司,2001-01-05,主板
SH,600310,广西能源,广西能源,广西能源,广西能源股份有限公司,2001-02-28,主板
SH,600312,平高电气,平高电气,平高电气,河南平高电气股份有限公司,2001-02-21,主板
SH,600313,农发种业,农发种业,农发种业,中农发种业集团股份有限公司,2001-01-19,主板
SH,600315,上海家化,上海家化,上海家化,上海家化联合股份有限公司,2001-03-15,主板
SH,600316,洪都航空,洪都航空,洪都航空,江西洪都航空工业股份有限公司,2000-12-15,主板
SH,600318,新力金融,新力金融,新力金融,安徽新力金融股份有限公司,2000-12-08,主板
SH,600319,亚星化学,亚星化学,亚星化学,潍坊亚星化学股份有限公司,2001-03-26,主板
SH,600320,振华重工,振华重工,振华重工,上海振华重工(集团)股份有限公司,2000-12-21,主板
SH,600322,津投城开,津投城开,津投城开,天津津投城市开发股份有限公司,2001-09-10,主板
SH,600323,瀚蓝环境,瀚蓝环境,瀚蓝环境,瀚蓝环境股份有限公司,2000-12-25,主板
SH,600325,华发股份,华发股份,华发股份,珠海华发实业股份有限公司,2004-02-25,主板
SH,600326,西藏天路,西藏天路,西藏天路,西藏天路股份有限公司,2001-01-16,主板
SH,600327,大东方,大东方,大东方,无锡商业大厦大东方股份有限公司,2002-06-25,主板
SH,600328,中盐化工,中盐化工,中盐化工,中盐内蒙古化工股份有限公司,2000-12-22,主板
SH,600329,达仁堂,达仁堂,达仁堂,津药达仁堂集团股份有限公司,2001-06-06,主板
SH,600330,天通股份,天通股份,天通股份,天通控股股份有限公司,2001-01-18,主板
SH,600331,宏达股份,宏达股份,宏达股份,四川宏达股份有限公司,2001-12-20,主板
SH,600332,白云山,白云山,白云山,广州白云山医药集团股份有限公司,2001-02-06,主板
SH,600333,长春燃气,长春燃气,长春燃气,长春燃气股份有限公司,2000-12-11,主板
SH,600335,国机汽车,国机汽车,国机汽车,国机汽车股份有限公司,2001-03-05,主板
SH,600336,澳柯玛,澳柯玛,澳柯玛,澳柯玛股份有限公司,2000-12-29,主板
SH,600337,ST美克,ST美克,ST美克,美克国际家居用品股份有限公司,2000-11-27,主板
SH,600338,西藏珠峰,西藏珠峰,西藏珠峰,西藏珠峰资源股份有限公司,2000-12-27,主板
SH,600339,中油工程,中油工程,中油工程,中国石油集团工程股份有限公司,2000-12-25,主板
SH,600340,*ST华幸,*ST华幸,*ST华幸,华夏幸福基业股份有限公司,2003-12-30,主板
SH,600343,航天动力,航天动力,航天动力,陕西航天动力高科技股份有限公司,2003-04-08,主板
SH,600345,长江通信,长江通信,长江通信,武汉长江通信产业集团股份有限公司,2000-12-22,主板
SH,600346,恒力石化,恒力石化,恒力石化,恒力石化股份有限公司,2001-08-20,主板
SH,600348,华阳股份,华阳股份,华阳股份,山西华阳集团新能股份有限公司,2003-08-21,主板
SH,600350,山东高速,山东高速,山东高速,山东高速股份有限公司,2002-03-18,主板
SH,600351,亚宝药业,亚宝药业,亚宝药业,亚宝药业集团股份有限公司,2002-09-26,主板
SH,600352,浙江龙盛,浙江龙盛,浙江龙盛,浙江龙盛集团股份有限公司,2003-08-01,主板
SH,600353,旭光电子,旭光电子,旭光电子,成都旭光电子股份有限公司,2002-11-20,主板
SH,600354,敦煌种业,敦煌种业,敦煌种业,甘肃省敦煌种业集团股份有限公司,2004-01-15,主板
SH,600356,恒丰纸业,恒丰纸业,恒丰纸业,牡丹江恒丰纸业股份有限公司,2001-04-19,主板
